Date,1/12 Yr,3/12 Yr,6/12 yr,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1/2/2015,0.0002,0.0002,0.0011,0.0025,0.0066,0.0107,0.0161,0.0192,0.0212,0.0241,0.0269
1/5/2015,0.0002,0.0003,0.001,0.0026,0.0068,0.0106,0.0157,0.0185,0.0204,0.0232,0.026
1/6/2015,0.0002,0.0003,0.001,0.0025,0.0065,0.0102,0.015,0.0178,0.0197,0.0225,0.0252
1/7/2015,0.0002,0.0003,0.0009,0.0025,0.0062,0.01,0.0147,0.0176,0.0196,0.0225,0.0252
1/8/2015,0.0001,0.0003,0.0008,0.0023,0.0062,0.01,0.015,0.0181,0.0203,0.0233,0.0259
1/9/2015,0.0002,0.0002,0.0008,0.0022,0.0059,0.0096,0.0145,0.0175,0.0198,0.0229,0.0255
1/12/2015,0.0002,0.0003,0.0009,0.0019,0.0056,0.0091,0.0139,0.0169,0.0192,0.0223,0.0249
1/13/2015,0.0002,0.0003,0.0008,0.002,0.0054,0.0088,0.0137,0.0167,0.0191,0.0224,0.0249
1/14/2015,0.0002,0.0004,0.0009,0.0018,0.0051,0.0083,0.0133,0.0162,0.0186,0.022,0.0247
1/15/2015,0.0003,0.0003,0.0008,0.0016,0.0044,0.0075,0.0122,0.0153,0.0177,0.0212,0.024
1/16/2015,0.0002,0.0003,0.0007,0.0017,0.0049,0.008,0.0129,0.016,0.0183,0.0217,0.0244
1/20/2015,0.0001,0.0003,0.0008,0.0017,0.0053,0.0085,0.0131,0.0161,0.0182,0.0215,0.0239
1/21/2015,0.0001,0.0003,0.0008,0.0017,0.0053,0.0087,0.0135,0.0166,0.0187,0.022,0.0244
1/22/2015,0.0002,0.0003,0.0008,0.0017,0.0053,0.009,0.0139,0.0169,0.019,0.0221,0.0246
1/23/2015,0.0002,0.0002,0.0007,0.0017,0.0052,0.0086,0.0133,0.0162,0.0181,0.0212,0.0238
1/26/2015,0.0002,0.0003,0.0008,0.0018,0.0054,0.0089,0.0136,0.0164,0.0183,0.0214,0.024
1/27/2015,0.0002,0.0002,0.0008,0.0017,0.0054,0.0087,0.0134,0.0162,0.0183,0.0215,0.024
1/28/2015,0.0002,0.0002,0.0008,0.0017,0.005,0.0081,0.0125,0.0153,0.0173,0.0205,0.0229
1/29/2015,0.0001,0.0003,0.0007,0.0017,0.0051,0.0084,0.0128,0.0159,0.0177,0.0211,0.0233
1/30/2015,0.0001,0.0002,0.0007,0.0018,0.0047,0.0077,0.0118,0.0149,0.0168,0.0204,0.0225
2/2/2015,0.0001,0.0002,0.0007,0.0017,0.0049,0.0078,0.0119,0.0149,0.0168,0.0207,0.0225
2/3/2015,0.0002,0.0002,0.0007,0.0021,0.0052,0.0085,0.0128,0.016,0.0179,0.0216,0.0237
2/4/2015,0.0001,0.0001,0.0006,0.002,0.0052,0.0086,0.0129,0.0161,0.0181,0.0217,0.0239
2/5/2015,0.0002,0.0002,0.0006,0.002,0.0052,0.0087,0.013,0.0162,0.0183,0.022,0.0242
2/6/2015,0.0001,0.0002,0.0007,0.0026,0.0065,0.0103,0.0148,0.0177,0.0195,0.0228,0.0251
2/9/2015,0.0002,0.0001,0.0008,0.0024,0.0065,0.0104,0.0149,0.0178,0.0196,0.0228,0.0252
2/10/2015,0.0002,0.0001,0.0008,0.0025,0.0067,0.0105,0.0152,0.0182,0.0201,0.0233,0.0258
2/11/2015,0.0002,0.0001,0.0007,0.0024,0.0067,0.0106,0.0153,0.0183,0.02,0.0233,0.0257
2/12/2015,0.0002,0.0002,0.0007,0.0023,0.0061,0.0102,0.015,0.0181,0.0199,0.0233,0.0258
2/13/2015,0.0002,0.0001,0.0007,0.0023,0.0066,0.0103,0.0153,0.0184,0.0202,0.0239,0.0263
2/17/2015,0.0002,0.0002,0.0007,0.0025,0.007,0.011,0.0162,0.0195,0.0214,0.0249,0.0273
2/18/2015,0.0002,0.0002,0.0007,0.0023,0.0062,0.01,0.0152,0.0186,0.0207,0.0246,0.027
2/19/2015,0.0002,0.0002,0.0007,0.0023,0.0067,0.0105,0.0158,0.0192,0.0211,0.025,0.0273
2/20/2015,0.0002,0.0002,0.0007,0.0023,0.0067,0.0107,0.0161,0.0194,0.0213,0.025,0.0273
2/23/2015,0.0001,0.0002,0.0008,0.0022,0.0064,0.0103,0.0156,0.0188,0.0206,0.0244,0.0266
2/24/2015,0.0002,0.0002,0.0008,0.0022,0.006,0.0097,0.0147,0.0179,0.0199,0.0238,0.026
2/25/2015,0.0002,0.0002,0.0007,0.0021,0.0061,0.0098,0.0147,0.0178,0.0196,0.0235,0.0256
2/26/2015,0.0002,0.0003,0.0007,0.0022,0.0066,0.0104,0.0154,0.0186,0.0203,0.0239,0.0263
2/27/2015,0.0002,0.0002,0.0007,0.0022,0.0063,0.0101,0.015,0.0182,0.02,0.0238,0.026
3/2/2015,0.0002,0.0002,0.0008,0.0022,0.0066,0.0106,0.0157,0.0189,0.0208,0.0246,0.0268
3/3/2015,0.0001,0.0002,0.0008,0.0026,0.0068,0.0109,0.0161,0.0194,0.0212,0.0249,0.0271
3/4/2015,0.0001,0.0001,0.0008,0.0026,0.0066,0.0107,0.016,0.0193,0.0212,0.0249,0.0272
3/5/2015,0.0002,0.0002,0.0008,0.0025,0.0065,0.0105,0.0157,0.019,0.0211,0.0249,0.0271
3/6/2015,0.0002,0.0001,0.0008,0.0027,0.0073,0.0116,0.017,0.0204,0.0224,0.0263,0.0283
3/9/2015,0.0001,0.0002,0.001,0.0027,0.007,0.0113,0.0166,0.0199,0.022,0.0258,0.028
3/10/2015,0.0003,0.0002,0.001,0.0025,0.007,0.011,0.0162,0.0194,0.0214,0.0251,0.0273
3/11/2015,0.0003,0.0003,0.001,0.0025,0.007,0.0109,0.016,0.0192,0.0211,0.0247,0.0269
3/12/2015,0.0003,0.0003,0.001,0.0024,0.0067,0.0106,0.0159,0.0191,0.021,0.0247,0.0269
3/13/2015,0.0003,0.0003,0.0011,0.0024,0.0068,0.0107,0.016,0.0193,0.0213,0.0248,0.027
3/16/2015,0.0002,0.0005,0.0015,0.0026,0.0066,0.0106,0.0157,0.019,0.021,0.0245,0.0267
3/17/2015,0.0005,0.0005,0.0015,0.0027,0.007,0.0107,0.0156,0.0187,0.0206,0.024,0.0261
