Date,1/12 Yr,3/12 Yr,6/12 yr,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1/4/2010,0.999958334,0.99980002,0.999100405,0.99551011,0.978435903,0.951419689,0.875902934,0.790412751,0.680450636,0.398519041,0.247833036
1/5/2010,0.999975,0.999825015,0.999150361,0.995908394,0.980002653,0.953991994,0.879853379,0.79485148,0.685916074,0.403330078,0.252334422
1/6/2010,0.999975,0.999850011,0.999250281,0.996007989,0.980002653,0.953133787,0.878095431,0.792074362,0.680450636,0.396135086,0.244143283
1/7/2010,0.999983333,0.999875008,0.99920032,0.996007989,0.979610731,0.952562078,0.877217774,0.792074362,0.680450636,0.396928149,0.244876813
1/8/2010,0.999983333,0.999875008,0.999250281,0.996306837,0.980983146,0.954278234,0.879413562,0.793184043,0.681812899,0.3977228,0.244143283
1/11/2010,0.999991667,0.999900005,0.999350211,0.996506118,0.981179362,0.954564561,0.878973966,0.792629008,0.680450636,0.395343607,0.241231072
1/12/2010,0.999983333,0.999875008,0.999300245,0.996605773,0.981768247,0.955997482,0.882938261,0.798196876,0.687976912,0.404946629,0.250073601
1/13/2010,0.999983333,0.999850011,0.999250281,0.996306837,0.980786969,0.954850973,0.880293416,0.79485148,0.683861409,0.398519041,0.243411951
1/14/2010,0.999983333,0.999875008,0.999300245,0.996605773,0.981375618,0.956284324,0.882055764,0.797638334,0.686602333,0.404946629,0.249324505
1/15/2010,0.999975,0.999850011,0.999250281,0.996705439,0.982357484,0.957719827,0.885148369,0.80099546,0.690734331,0.408199195,0.253092562
1/19/2010,0.999975,0.999850011,0.999300245,0.996705439,0.981571912,0.956571252,0.883379841,0.799315134,0.688665233,0.407383613,0.251578553
1/20/2010,0.999975,0.999875008,0.999300245,0.9969048,0.981768247,0.957145367,0.884705905,0.801556353,0.692117182,0.412301665,0.256147968
1/21/2010,0.999983333,0.999850011,0.999300245,0.9969048,0.982750506,0.958582163,0.887807801,0.805493618,0.696282368,0.416445366,0.259240261
1/22/2010,0.999983333,0.999850011,0.999300245,0.997004496,0.983340333,0.959157485,0.888251816,0.805493618,0.696282368,0.416445366,0.259240261
1/25/2010,0.999983333,0.999850011,0.999300245,0.997004496,0.982947076,0.958869781,0.887364008,0.803803856,0.693502801,0.413127094,0.255380676
1/26/2010,0.999983333,0.999825015,0.999300245,0.996805115,0.982750506,0.958869781,0.887807801,0.804366715,0.694196651,0.412301665,0.254615682
1/27/2010,0.999991667,0.99980002,0.99920032,0.996705439,0.982161032,0.957145367,0.885591053,0.802679318,0.693502801,0.413127094,0.255380676
1/28/2010,0.999991667,0.99980002,0.999250281,0.9969048,0.982750506,0.957719827,0.886477087,0.802117639,0.692117182,0.411477886,0.25385298
1/29/2010,0.999983333,0.99980002,0.999250281,0.997004496,0.983733748,0.959445275,0.889585193,0.80605766,0.695586433,0.416445366,0.258463705
2/1/2010,0.999958334,0.999750031,0.999150361,0.996705439,0.982947076,0.958582163,0.887807801,0.803803856,0.692117182,0.412301665,0.254615682
2/2/2010,0.999966667,0.999750031,0.999150361,0.996705439,0.982947076,0.958582163,0.888251816,0.804366715,0.692809645,0.413127094,0.255380676
2/3/2010,0.999958334,0.999750031,0.999150361,0.996506118,0.982553975,0.957719827,0.886920437,0.801556353,0.688665233,0.407383613,0.250073601
2/4/2010,0.999966667,0.999775025,0.99920032,0.996805115,0.98412732,0.9605973,0.891811938,0.807186931,0.696282368,0.415613308,0.256917566
2/5/2010,0.999975,0.999750031,0.999150361,0.9969048,0.984717974,0.962327933,0.894491391,0.810584246,0.698374351,0.418114483,0.258463705
2/8/2010,0.999966667,0.999700045,0.999150361,0.996805115,0.984324165,0.961750709,0.89315066,0.808883805,0.696282368,0.416445366,0.257689476
2/9/2010,0.999958334,0.999700045,0.999100405,0.996605773,0.983340333,0.959733152,0.890475223,0.80605766,0.692809645,0.411477886,0.253092562
2/10/2010,0.999950001,0.999725038,0.999050451,0.996207211,0.98196462,0.957719827,0.887364008,0.802679318,0.689354243,0.405757333,0.247833036
2/11/2010,0.999958334,0.999725038,0.999100405,0.996207211,0.98196462,0.958007186,0.887364008,0.802117639,0.688665233,0.403330078,0.244876813
2/12/2010,0.999966667,0.999750031,0.999100405,0.996506118,0.983340333,0.959445275,0.889140512,0.804366715,0.69142541,0.404946629,0.247090651
2/16/2010,0.999966667,0.999750031,0.999100405,0.996605773,0.983733748,0.960021115,0.890475223,0.80605766,0.693502801,0.407383613,0.249324505
2/17/2010,0.999941668,0.999750031,0.999100405,0.996506118,0.982750506,0.958294631,0.886920437,0.801556353,0.687976912,0.40171998,0.244143283
2/18/2010,0.999941668,0.999750031,0.999100405,0.996306837,0.982161032,0.956858267,0.884263663,0.797638334,0.684545613,0.3977228,0.241231072
2/19/2010,0.999950001,0.999725038,0.9990005,0.996107595,0.981179362,0.955710726,0.883379841,0.797080182,0.685230501,0.40011631,0.243411951
2/22/2010,0.999950001,0.999725038,0.999050451,0.996306837,0.98196462,0.956571252,0.883821641,0.796522421,0.683861409,0.398519041,0.241955852
2/23/2010,0.999933336,0.999700045,0.9990005,0.996406472,0.982750506,0.958294631,0.888251816,0.80324139,0.69142541,0.407383613,0.249324505
2/24/2010,0.999933336,0.999700045,0.999050451,0.996605773,0.982750506,0.958294631,0.886920437,0.802679318,0.690734331,0.407383613,0.249324505
2/25/2010,0.999925003,0.999675053,0.999050451,0.996805115,0.983733748,0.959445275,0.890030097,0.805493618,0.694891195,0.411477886,0.253092562
2/26/2010,0.999925003,0.999675053,0.999050451,0.996805115,0.983930514,0.960021115,0.891366144,0.80775216,0.696978998,0.414782912,0.255380676
3/1/2010,0.999925003,0.999675053,0.999050451,0.996805115,0.98412732,0.9605973,0.892257956,0.808317785,0.696978998,0.413954175,0.254615682
3/2/2010,0.999925003,0.999650061,0.999050451,0.996805115,0.98412732,0.960885523,0.892704196,0.808317785,0.696282368,0.413127094,0.25385298
3/3/2010,0.999925003,0.999650061,0.999050451,0.996705439,0.983733748,0.9605973,0.892704196,0.808317785,0.695586433,0.412301665,0.253092562
3/4/2010,0.999925003,0.999650061,0.999050451,0.996506118,0.982947076,0.959445275,0.892257956,0.808883805,0.696978998,0.414782912,0.254615682
3/5/2010,0.999908338,0.99962507,0.9990005,0.996207211,0.98196462,0.958007186,0.889140512,0.804929969,0.69142541,0.407383613,0.248577652
3/8/2010,0.999908338,0.99960008,0.998950551,0.996107595,0.982161032,0.958007186,0.888696053,0.80324139,0.689354243,0.404946629,0.245612546
3/9/2010,0.999900005,0.99960008,0.998950551,0.996306837,0.982357484,0.958007186,0.889585193,0.804366715,0.690043942,0.404137545,0.245612546
