Date,1 Yr,2 Yr,3 Yr
6/11/2015,0.997207818,0.985558328,0.967138823
6/12/2015,0.997207818,0.985362674,0.967138823
6/15/2015,0.997207818,0.98575404,0.967712906
6/16/2015,0.997207818,0.985949811,0.968287444
6/17/2015,0.99730727,0.986733477,0.969725779
6/18/2015,0.997406742,0.986929539,0.969725779
6/19/2015,0.997506234,0.98712566,0.970878499
6/22/2015,0.99730727,0.986537473,0.968862436
6/23/2015,0.997008973,0.98614564,0.968574883
6/24/2015,0.997008973,0.986537473,0.968862436
6/25/2015,0.997108386,0.986537473,0.968862436
6/26/2015,0.997108386,0.98575404,0.968000118
6/29/2015,0.99730727,0.98732184,0.970590148
6/30/2015,0.997207818,0.98732184,0.970301911
7/1/2015,0.997207818,0.986341527,0.968287444
7/2/2015,0.997406742,0.98732184,0.970301911
7/6/2015,0.997406742,0.988107142,0.972033047
7/7/2015,0.997506234,0.988500145,0.971744238
7/8/2015,0.997605746,0.989090089,0.973189426
7/9/2015,0.997506234,0.988107142,0.972033047
7/10/2015,0.997207818,0.98712566,0.969437884
7/13/2015,0.997207818,0.986341527,0.968862436
7/14/2015,0.99730727,0.986929539,0.969725779
7/15/2015,0.997207818,0.98732184,0.970590148
7/16/2015,0.997108386,0.986733477,0.969150103
7/17/2015,0.997108386,0.986537473,0.969150103
7/20/2015,0.99690958,0.985949811,0.968000118
7/21/2015,0.996611521,0.985949811,0.968574883
7/22/2015,0.996611521,0.985167078,0.968287444
7/23/2015,0.996710854,0.985949811,0.968862436
7/24/2015,0.996810207,0.98614564,0.969437884
7/27/2015,0.996810207,0.986537473,0.970590148
7/28/2015,0.996810207,0.986341527,0.969725779
7/29/2015,0.996710854,0.98614564,0.969150103
7/30/2015,0.996412914,0.98575404,0.968574883
7/31/2015,0.996710854,0.986733477,0.970590148
8/3/2015,0.996710854,0.986537473,0.970878499
8/4/2015,0.99631364,0.985362674,0.968287444
8/5/2015,0.996214385,0.985558328,0.967712906
8/6/2015,0.996512207,0.985949811,0.968287444
8/7/2015,0.996214385,0.985558328,0.968287444
8/10/2015,0.996015936,0.985558328,0.968000118
8/11/2015,0.99631364,0.986537473,0.969725779
8/12/2015,0.99631364,0.986733477,0.970301911
8/13/2015,0.996015936,0.98575404,0.968862436
8/14/2015,0.995916741,0.985558328,0.968287444
8/17/2015,0.996015936,0.98575404,0.968574883
8/18/2015,0.995817566,0.985362674,0.968574883
8/19/2015,0.996115151,0.986733477,0.971166965
8/20/2015,0.996115151,0.986341527,0.970590148
8/21/2015,0.996412914,0.98732184,0.972033047
8/24/2015,0.996710854,0.988303615,0.973478807
8/25/2015,0.996412914,0.986733477,0.971166965
8/26/2015,0.996512207,0.986733477,0.971166965
8/27/2015,0.996412914,0.986537473,0.970878499
8/28/2015,0.996214385,0.98575404,0.969437884
8/31/2015,0.996115151,0.985362674,0.968574883
9/1/2015,0.996115151,0.98614564,0.969725779
9/2/2015,0.99631364,0.98575404,0.969437884
9/3/2015,0.996412914,0.985949811,0.970590148
9/4/2015,0.996412914,0.985949811,0.970590148
9/8/2015,0.996115151,0.985362674,0.969150103
9/9/2015,0.996115151,0.985167078,0.968862436
9/10/2015,0.996115151,0.985167078,0.968862436
9/11/2015,0.996015936,0.985949811,0.969725779
9/14/2015,0.996015936,0.985558328,0.969725779
9/15/2015,0.995321987,0.983799537,0.967138823
9/16/2015,0.995421063,0.983799537,0.966851952
9/17/2015,0.996115151,0.98614564,0.970590148
9/18/2015,0.996512207,0.986341527,0.971455544
9/21/2015,0.996412914,0.98575404,0.970301911
9/22/2015,0.996512207,0.986341527,0.971455544
9/23/2015,0.996611521,0.98614564,0.970590148
9/24/2015,0.996810207,0.986733477,0.971455544
9/25/2015,0.996512207,0.98614564,0.970590148
9/28/2015,0.996611521,0.986733477,0.971455544
9/29/2015,0.996710854,0.98732184,0.972900159
9/30/2015,0.996710854,0.98732184,0.972900159
10/1/2015,0.99690958,0.98732184,0.972900159
10/2/2015,0.997506234,0.988500145,0.974927436
10/5/2015,0.997406742,0.987910729,0.973768303
10/6/2015,0.997406742,0.987910729,0.973478807
10/7/2015,0.99730727,0.98712566,0.972900159
10/8/2015,0.99730727,0.98712566,0.972611007
10/9/2015,0.997207818,0.98712566,0.971744238
10/13/2015,0.99730727,0.98732184,0.972900159
10/14/2015,0.997904401,0.988696734,0.975217507
10/15/2015,0.997804829,0.987910729,0.973478807
10/16/2015,0.997705278,0.987910729,0.973189426
10/19/2015,0.997705278,0.987910729,0.973768303
10/20/2015,0.997705278,0.986929539,0.972611007
10/21/2015,0.997705278,0.98732184,0.973189426
10/22/2015,0.997705278,0.987910729,0.973768303
10/23/2015,0.997605746,0.986929539,0.97232197
10/26/2015,0.997506234,0.986929539,0.97232197
