Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr
1Yr,0.719,0.598,0.5,0.428,0.3878,0.353,0.3297,0.3155,0.3048,0.2915
2Yr,0.5442,0.4475,0.3835,0.3453,0.3215,0.3033,0.2888,0.281,0.273,0.2643
3Yr,0.3808,0.3358,0.3075,0.29,0.2783,0.2688,0.2595,0.2577,0.252,0.2448
4Yr,0.2965,0.2788,0.2655,0.2573,0.25,0.2442,0.2385,0.2375,0.2348,0.2288
5Yr,0.258,0.252,0.2455,0.237,0.233,0.2285,0.2242,0.224,0.2215,0.217
6Yr,0.2385,0.234,0.229,0.225,0.222,0.2188,0.2148,0.2135,0.2125,0.2095
7Yr,0.225,0.2227,0.217,0.2125,0.208,0.208,0.204,0.2055,0.205,0.2008
8Yr,0.212,0.211,0.2073,0.2035,0.2018,0.2005,0.198,0.198,0.1977,0.197
9Yr,0.2045,0.2023,0.2002,0.1968,0.1943,0.193,0.1905,0.1902,0.1905,0.1908
10Yr,0.1968,0.193,0.1907,0.1885,0.1868,0.186,0.1848,0.1865,0.1865,0.184
